SKU,Nombre Producto,Categoria,Subcategoria,Cantidad Bodega,Unidad,Costo Unitario CLP,Costo Total Bodega CLP,Precio Lista CLP,Estado,Codigo Proveedor,Observaciones
LT-DLP-010,ACCESORIO 16X40MM  CAFE INTERIOR,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,UN,0.0,=E127*G127,0.0,Sin Stock,,
LT-DLP-011,ACCESORIO 16X40MM CAFE EXTERIOR,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,UN,0.0,=E128*G128,0.0,Sin Stock,,
LT-DLP-012,ACCESORIO 16X40MM CAFE  PLANO,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,UN,0.0,=E129*G129,0.0,Sin Stock,,
LT-DLP-013,ACCESORIO 16X40MM CAFE FINAL,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,UN,0.0,=E130*G130,0.0,Sin Stock,,
LT-DLP-014,ACCESORIO 16X40MM CAFE T,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,UN,0.0,=E131*G131,0.0,Sin Stock,,
LT-DLP-015,BANDEJA DLP 100X50 MM ZOLODA,Canaletas y Accesorios (DLP/Zoloda),Bandejas y Escalerillas,10,TIRAS,0.0,=E132*G132,0.0,Disponible,,
LT-DLP-016,TAPAS ZOLODAS,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,20,TIRAS,0.0,=E133*G133,0.0,Disponible,,
LT-DLP-017,ACCESORIO 100X50 MM ZOLODA INTERIOR,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,12,UN,0.0,=E134*G134,0.0,Disponible,,
LT-DLP-018,ACCESORIO 100X50 MM ZOLODA EXTERIOR,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,10,UN,0.0,=E135*G135,0.0,Disponible,,
LT-DLP-019,ACCESORIO 100X50 MM ZOLODA PLANO,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,24,UN,0.0,=E136*G136,0.0,Disponible,,
LT-DLP-020,ACCESORIO 100X50 MM ZOLODA FINAL,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,11,UN,0.0,=E137*G137,0.0,Disponible,,
LT-DLP-021,ACCESORIO 100X50 MM ZOLODA T,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,5,UN,0.0,=E138*G138,0.0,Disponible,,
LT-DLP-022,UNION BANDEJA 100X50,Canaletas y Accesorios (DLP/Zoloda),Bandejas y Escalerillas,0,UN,0.0,=E139*G139,0.0,Sin Stock,,
LT-DLP-023,SOPORTE UNIVERSAL BAJO PERFIL 100x50MM BTKS-100-50-BL,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,22,UN,1687.0,=E140*G140,2.49,Disponible,P01829,
LT-DLP-024,SEPARADOR 100X50 2 MTS,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,10,TIRA,0.0,=E141*G141,0.0,Disponible,,
LT-DLP-025,LG BANDEJA 105X50MM BLANCO X MTS 10422,Canaletas y Accesorios (DLP/Zoloda),Bandejas y Escalerillas,0,MTS,29123.0,=E142*G142,20224.0,Sin Stock,P01576,
LT-DLP-026,LG TAPA COMPLETA FLEXIBLE 85MM 105X50MM 10522 MTS,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,MTS,13008.0,=E143*G143,9033.0,Sin Stock,P02749,
LT-DLP-027,LG ANGULO EXTERIOR 80X50 - 105X50 - 150X50MM 10622,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,UN,16566.0,=E144*G144,23008.0,Sin Stock,P01721,
LT-DLP-028,LG ANGULO INTERIOR 80X50 - 105X50 - 150X50MM 10602,Canaletas y Accesorios (DLP/Zoloda),Accesorios y Varios,0,UN,12174.0,=E145*G145,16909.0,Sin Stock,P02751,
